Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
Rhode Island,1059361,1052964,0.006,1052567,0.051,0.193,0.177,0.513,0.836,0.085,0.011,0.037,0.002,0.029,0.163,0.714,57524,0.136,470168,0.603,249800,1838,724,981,1400,410885,2.47,0.872,0.221,0.876,0.818,0.88,0.333,0.098,0.048,0.644,0.606,2481314,8223005,11262158,22310389,12063865,11486,24.8,63296,34619,0.108,28748,442449,22302643,0.015,83145,94642,54651,30484,14737,77042,9904,79837,1018.1,1033.81
South Carolina,5148714,4625366,0.113,4625364,0.057,0.216,0.182,0.516,0.686,0.27,0.005,0.018,0.001,0.02,0.06,0.637,366862,0.049,2351286,0.689,154800,1227,371,868,36034,1894711,2.54,0.853,0.07,0.862,0.753,0.871,0.274,0.104,0.132,0.597,0.56,9763818,22941292,99160840,45520900,58093824,12298,24.6,51015,27986,0.138,110325,1903609,79732181,0.02,363971,367726,202446,131856,83233,276269,47987,303137,153.9,30060.7
South Dakota,884659,814198,0.087,814180,0.069,0.245,0.172,0.495,0.846,0.023,0.09,0.015,0.001,0.025,0.042,0.815,59243,0.035,401862,0.681,159100,1298,471,722,4415,341565,2.43,0.84,0.065,0.868,0.78,0.917,0.285,0.081,0.122,0.681,0.642,1873699,6211731,16882647,20411059,13791827,16550,17,56499,29801,0.119,27100,359771,15241286,Z,68405,81314,42418,23722,4101,74228,8604,66219,10.7,75811
Tennessee,6829174,6346276,0.076,6346105,0.06,0.221,0.167,0.512,0.784,0.171,0.005,0.02,0.001,0.02,0.057,0.735,435040,0.05,3028213,0.663,158600,1224,381,841,41361,2567061,2.53,0.852,0.071,0.852,0.754,0.87,0.266,0.111,0.121,0.609,0.563,12499013,42383683,139960482,111718421,91641605,14194,25,50972,28511,0.139,138269,2683214,125736019,0.013,539987,550453,302249,195694,105234,434025,59379,469392,153.9,41234.9
Texas,28995881,25146091,0.153,25145561,0.069,0.255,0.129,0.503,0.787,0.129,0.01,0.052,0.001,0.021,0.397,0.412,1474232,0.17,11283353,0.619,161700,1549,500,998,209895,9553046,2.86,0.841,0.355,0.892,0.793,0.832,0.293,0.079,0.208,0.642,0.577,54480811,145035130,702603073,691242607,356116376,13666,26.4,59570,30143,0.136,600747,10794596,577914267,0.02,2514301,2356748,1251696,866678,1070392,1224845,213590,2057218,96.3,261231.71
Utah,3205958,2763891,0.16,2763885,0.077,0.29,0.114,0.496,0.906,0.015,0.016,0.027,0.011,0.026,0.144,0.778,123339,0.084,1133521,0.699,256700,1497,418,988,28779,957619,3.13,0.829,0.152,0.944,0.857,0.92,0.333,0.068,0.108,0.679,0.6,4789281,14521857,50046429,30927885,38024486,13317,21.7,68374,28239,0.089,82260,1337574,62411104,0.043,246766,251419,132163,76269,24423,218826,18754,219807,33.6,82169.62
Vermont,623989,625737,-0.003,625741,0.047,0.183,0.2,0.506,0.942,0.014,0.004,0.019,Z,0.02,0.02,0.926,38625,0.046,339439,0.707,223700,1594,667,972,1801,259589,2.31,0.867,0.057,0.889,0.802,0.926,0.373,0.105,0.056,0.657,0.63,1564272,4457996,9315494,6450076,9933751,15868,22.9,60076,33238,0.102,21019,261282,11436767,0.009,62027,75827,41270,23417,2354,70491,8237,63317,67.9,9216.66
Virginia,8535519,8001049,0.067,8001024,0.059,0.218,0.159,0.508,0.694,0.199,0.005,0.069,0.001,0.032,0.098,0.612,684480,0.123,3562143,0.662,264900,1767,470,1202,32418,3128415,2.61,0.845,0.161,0.899,0.82,0.893,0.382,0.08,0.093,0.642,0.604,17795901,47705003,96389872,86613641,110002385,13438,28.4,71564,37763,0.099,202379,3386839,188552171,0.023,632995,653193,353012,236290,185043,450109,76434,548439,202.6,39490.09
Washington,7614893,6724540,0.132,6724540,0.06,0.218,0.159,0.499,0.785,0.044,0.019,0.096,0.008,0.049,0.13,0.675,537713,0.14,3195004,0.627,311700,1826,564,1194,48424,2800423,2.55,0.822,0.194,0.927,0.865,0.911,0.353,0.088,0.077,0.635,0.584,14297278,43966889,131530601,83313366,118924049,17243,27.6,70116,36888,0.098,193817,2847481,183300334,0.028,491908,541522,262650,187677,92807,426697,49331,461401,101.2,66455.52
West Virginia,1792147,1853018,-0.033,1852994,0.052,0.201,0.205,0.505,0.935,0.036,0.003,0.008,Z,0.018,0.017,0.92,134508,0.016,894956,0.729,115000,1023,319,711,3010,734676,2.42,0.884,0.025,0.818,0.729,0.865,0.203,0.141,0.083,0.531,0.489,4036333,12259395,24553072,14295437,22637923,12201,25.8,44921,25479,0.16,35963,554567,23198172,0.009,88150,114435,63112,39065,5777,104785,12912,94960,77.1,24038.21
Wisconsin,5822434,5687285,0.024,5686986,0.057,0.218,0.175,0.502,0.87,0.067,0.012,0.03,0.001,0.02,0.071,0.809,342796,0.05,2725296,0.669,173600,1418,550,837,17480,2343129,2.4,0.858,0.087,0.88,0.804,0.919,0.295,0.082,0.068,0.666,0.63,10303256,40680625,177728926,77066883,78201822,13656,22,59209,32018,0.104,141666,2602148,127405654,0.016,355166,432980,236252,133859,40507,379934,39830,370755,105,54157.8
Wyoming,578759,563775,0.027,563626,0.06,0.231,0.171,0.491,0.925,0.013,0.027,0.011,0.001,0.022,0.101,0.837,45389,0.035,280291,0.694,213300,1428,415,843,1708,230630,2.46,0.831,0.073,0.908,0.811,0.929,0.269,0.089,0.148,0.664,0.612,1644844,3291478,10783794,5597891,9446043,16388,17.8,62268,32295,0.101,21336,205786,9982639,0.019,53042,62427,30039,19344,4077,55397,6470,51353,5.8,97093.14
