,midterm_s,pct_reg_of_vep_vrs_s,percentcitizenblack_s,percentcitizenwhite_s,nonvoter_reg_pct_s,turnout_pred
229,0,0.75,0.2,0.5,0.06,0.5745680000000027
230,0,0.75,0.2,0.5,0.07,0.5746320000000027
231,0,0.75,0.2,0.5,0.08,0.5745400000000027
232,0,0.75,0.2,0.5,0.09,0.5743570000000027
233,0,0.75,0.2,0.5,0.1,0.5745110000000025
234,0,0.75,0.2,0.5,0.11,0.5752640000000023
235,0,0.75,0.2,0.5,0.12,0.5752010000000024
236,0,0.75,0.2,0.5,0.13,0.5742970000000025
237,0,0.75,0.2,0.5,0.14,0.5738670000000026
238,0,0.8,0.2,0.5,0.01,0.6089170000000063
239,0,0.8,0.2,0.5,0.02,0.5887560000000043
240,0,0.8,0.2,0.5,0.03,0.5879690000000043
241,0,0.8,0.2,0.5,0.04,0.5885500000000039
242,0,0.8,0.2,0.5,0.05,0.5887910000000038
243,0,0.8,0.2,0.5,0.06,0.5899570000000044
244,0,0.8,0.2,0.5,0.07,0.5904470000000048
245,0,0.8,0.2,0.5,0.08,0.5907070000000048
246,0,0.8,0.2,0.5,0.09,0.5905740000000049
247,0,0.8,0.2,0.5,0.1,0.5904570000000052
248,0,0.8,0.2,0.5,0.11,0.5898990000000055
249,0,0.8,0.2,0.5,0.12,0.5884960000000052
250,0,0.8,0.2,0.5,0.13,0.5855950000000052
251,0,0.8,0.2,0.5,0.14,0.5853880000000049
252,0,0.85,0.2,0.5,0.01,0.6783070000000047
253,0,0.85,0.2,0.5,0.02,0.6777900000000043
254,0,0.85,0.2,0.5,0.03,0.6788900000000039
255,0,0.85,0.2,0.5,0.04,0.680972000000004
256,0,0.85,0.2,0.5,0.05,0.6805800000000048
257,0,0.85,0.2,0.5,0.06,0.6794970000000047
258,0,0.85,0.2,0.5,0.07,0.6777140000000047
259,0,0.85,0.2,0.5,0.08,0.674706000000005
260,0,0.85,0.2,0.5,0.09,0.6749250000000049
