State,total_ballots_counted,Voting_Eligible_Population,Voting_Eligibile_Population
Pennsylvania,0,9086897,"9,086,897"
Rhode Island,412074,753877,"753,877"
South Carolina,1433533,2944326,"2,944,326"
South Dakota,322159,548498,"548,498"
Tennessee,2100241,4162996,"4,162,996"
Texas,6407637,13033081,"13,033,081"
Utah,784582,1431668,"1,431,668"
Vermont,297146,459174,"459,174"
Virginia,2789808,5069265,"5,069,265"
Washington,2517028,4098044,"4,098,044"
West Virginia,0,1390365,"1,390,365"
Wisconsin,0,3842044,"3,842,044"
Wyoming,221685,361078,"361,078"
United States,74825832,190419570,"190,419,570"
Alabama,0,3202052,"3,202,052"
Alaska,227156,408758,"408,758"
Arizona,1037550,3232815,"3,232,815"
Arkansas,0,1882181,"1,882,181"
California,8617649,19264556,"19,264,556"
Colorado,0,2879973,"2,879,973"
Connecticut,1022453,2340956,"2,340,956"
Delaware,0,540896,"540,896"
District of Columbia,137523,398318,"398,318"
Florida,4070262,10590870,"10,590,870"
Georgia,1842145,5326337,"5,326,337"
Hawaii,412520,832172,"832,172"
Idaho,386720,843914,"843,914"
Illinois,3541379,8285614,"8,285,614"
Indiana,1618689,4348730,"4,348,730"
Iowa,973032,2112132,"2,112,132"
Kansas,743288,1873438,"1,873,438"
Kentucky,1215053,2930780,"2,930,780"
Louisiana,990243,3097660,"3,097,660"
Maine,0,943577,"943,577"
Maryland,1556994,3571087,"3,571,087"
Massachusetts,1935277,4430939,"4,430,939"
Michigan,3143432,7005306,"7,005,306"
Minnesota,2105343,3378089,"3,378,089"
Mississippi,0,1995283,"1,995,283"
Missouri,0,3978146,"3,978,146"
Montana,338733,653998,"653,998"
Nebraska,581775,1197953,"1,197,953"
Nevada,440042,1233386,"1,233,386"
New Hampshire,330555,878508,"878,508"
New Jersey,1894496,5505229,"5,505,229"
New Mexico,517355,1199320,"1,199,320"
New York,4989877,12263356,"12,263,356"
North Carolina,0,5624292,"5,624,292"
North Dakota,217584,475629,"475,629"
Ohio,3534782,8237516,"8,237,516"
Oklahoma,0,2415036,"2,415,036"
Oregon,1160400,2370381,"2,370,381"
Pennsylvania,0,9075961,"9,075,961"
Rhode Island,309835,723772,"723,772"
South Carolina,1092430,2825173,"2,825,173"
South Dakota,266355,534711,"534,711"
Tennessee,1026017,4092745,"4,092,745"
Texas,0,12490423,"12,490,423"
Utah,506553,1381989,"1,381,989"
Vermont,224382,444772,"444,772"
Virginia,0,4900523,"4,900,523"
Washington,1939421,3930400,"3,930,400"
West Virginia,405139,1388176,"1,388,176"
Wisconsin,0,3801514,"3,801,514"
Wyoming,178401,350136,"350,136"
United States,0,186347044,"186,347,044"
Alabama,0,3144249,"3,144,249"
Alaska,245212,404180,"404,180"
Arizona,1431342,3079908,"3,079,908"
Arkansas,0,1844689,"1,844,689"
California,10263490,18644593,"18,644,593"
Colorado,0,2770252,"2,770,252"
Connecticut,1410746,2337160,"2,337,160"
Delaware,277418,528630,"528,630"
District of Columbia,189210,398839,"398,839"
Florida,5444245,10219294,"10,219,294"
Georgia,2374650,5181708,"5,181,708"
Hawaii,370230,820055,"820,055"
Idaho,508030,825329,"825,329"
Illinois,4418270,8215662,"8,215,662"
Indiana,2195224,4302745,"4,302,745"
Iowa,1251983,2098332,"2,098,332"
Kansas,1073520,1856507,"1,856,507"
Kentucky,1419592,2880808,"2,880,808"
Louisiana,1804640,3087693,"3,087,693"
Maine,0,929970,"929,970"
Maryland,1793991,3530148,"3,530,148"
Massachusetts,2600278,4385268,"4,385,268"
Michigan,3912261,6954059,"6,954,059"
Minnesota,2211161,3319509,"3,319,509"
Mississippi,0,1949309,"1,949,309"
Missouri,0,3919885,"3,919,885"
Montana,417232,645052,"645,052"
Nebraska,686749,1188034,"1,188,034"
Nevada,467657,1134065,"1,134,065"
New Hampshire,513700,855287,"855,287"
New Jersey,3105110,5456334,"5,456,334"
New Mexico,579763,1172262,"1,172,262"
New York,6439129,12175850,"12,175,850"
North Carolina,0,5435970,"5,435,970"
North Dakota,271850,475898,"475,898"
Ohio,4638108,8185999,"8,185,999"
Oklahoma,1218248,2368311,"2,368,311"
Oregon,1399180,2309051,"2,309,051"
Pennsylvania,0,9063470,"9,063,470"
Rhode Island,0,717041,"717,041"
South Carolina,1203486,2731064,"2,731,064"
South Dakota,329316,529793,"529,793"
Tennessee,0,3984092,"3,984,092"
Texas,0,12072149,"12,072,149"
Utah,691016,1326919,"1,326,919"
Vermont,261469,435687,"435,687"
Virginia,2468229,4811632,"4,811,632"
Washington,2293895,3829308,"3,829,308"
West Virginia,653331,1386621,"1,386,621"
Wisconsin,0,3763240,"3,763,240"
Wyoming,215844,345112,"345,112"
United States,0,182623348,"182,623,348"
Alabama,0,3095745,"3,095,745"
Alaska,216668,399435,"399,435"
Arizona,1153724,2892171,"2,892,171"
Arkansas,0,1801161,"1,801,161"
California,8900593,18479124,"18,479,124"
Colorado,1173130,2648684,"2,648,684"
Connecticut,1163829,2335579,"2,335,579"
Delaware,201560,512941,"512,941"
District of Columbia,186316,411886,"411,886"
Florida,4305340,9810247,"9,810,247"
Georgia,0,4978431,"4,978,431"
Hawaii,377011,808904,"808,904"
Idaho,419330,784076,"784,076"
Illinois,3219122,8175312,"8,175,312"
Indiana,1609481,4235008,"4,235,008"
Iowa,1022372,2077709,"2,077,709"
Kansas,836251,1837694,"1,837,694"
Kentucky,827541,2829881,"2,829,881"
Louisiana,893758,3038660,"3,038,660"
Maine,0,918204,"918,204"
Maryland,1437450,3480270,"3,480,270"
Massachusetts,2232186,4353287,"4,353,287"
Michigan,3177740,6856388,"6,856,388"
Minnesota,1794618,3253779,"3,253,779"
Mississippi,621096,1903794,"1,903,794"
Missouri,0,3858946,"3,858,946"
Montana,359455,622246,"622,246"
Nebraska,593654,1164502,"1,164,502"
Nevada,386582,1032456,"1,032,456"
New Hampshire,319443,829590,"829,590"
New Jersey,2131328,5392423,"5,392,423"
New Mexico,485709,1128243,"1,128,243"
New York,5325323,12192316,"12,192,316"
North Carolina,0,5244552,"5,244,552"
North Dakota,240430,468989,"468,989"
Ohio,3540954,8132122,"8,132,122"
Oklahoma,1002363,2327519,"2,327,519"
Oregon,1254265,2229242,"2,229,242"
Pennsylvania,0,9043585,"9,043,585"
Rhode Island,0,716002,"716,002"
South Carolina,951901,2663830,"2,663,830"
South Dakota,318090,518815,"518,815"
Tennessee,0,3850228,"3,850,228"
Texas,0,11719888,"11,719,888"
Utah,532737,1248726,"1,248,726"
Vermont,216715,426953,"426,953"
Virginia,0,4718968,"4,718,968"
Washington,1733471,3715174,"3,715,174"
West Virginia,439551,1379339,"1,379,339"
Wisconsin,0,3692668,"3,692,668"
Wyoming,204025,337032,"337,032"
United States,0,179655523,"179,655,523"
Alabama,0,3030549,"3,030,549"
Alaska,261427,389898,"389,898"
Arizona,1516276,2671933,"2,671,933"
Arkansas,0,1751083,"1,751,083"
California,11374565,18460157,"18,460,157"
Colorado,1597166,2494998,"2,494,998"
Connecticut,1645609,2356937,"2,356,937"
Delaware,290836,499266,"499,266"
District of Columbia,231445,427102,"427,102"
Florida,5438612,9506230,"9,506,230"
Georgia,0,4766958,"4,766,958"
Hawaii,382882,795148,"795,148"
Idaho,491725,734855,"734,855"
Illinois,5164357,8113900,"8,113,900"
Indiana,2347912,4162678,"4,162,678"
Iowa,1360856,2057690,"2,057,690"
Kansas,1161044,1810750,"1,810,750"
Kentucky,0,2772600,"2,772,600"
Louisiana,1799596,2997301,"2,997,301"
Maine,0,915082,"915,082"
Maryland,1999486,3440015,"3,440,015"
Massachusetts,2822962,4346897,"4,346,897"
Michigan,4341909,6786593,"6,786,593"
Minnesota,2355796,3187255,"3,187,255"
Mississippi,1008019,1854797,"1,854,797"
Missouri,0,3792675,"3,792,675"
Montana,417564,593345,"593,345"
Nebraska,744548,1149525,"1,149,525"
Nevada,513387,940066,"940,066"
New Hampshire,545197,814160,"814,160"
New Jersey,3348312,5398559,"5,398,559"
New Mexico,590901,1073421,"1,073,421"
New York,7068630,12227775,"12,227,775"
North Carolina,0,5077494,"5,077,494"
North Dakota,315199,462631,"462,631"
Ohio,5043094,8063595,"8,063,595"
Oklahoma,1455635,2293931,"2,293,931"
Oregon,1498959,2144867,"2,144,867"
Pennsylvania,0,9010940,"9,010,940"
Rhode Island,0,721593,"721,593"
South Carolina,1234712,2610725,"2,610,725"
South Dakota,0,503759,"503,759"
Tennessee,0,3726024,"3,726,024"
Texas,0,11356487,"11,356,487"
Utah,784988,1162363,"1,162,363"
Vermont,292797,419810,"419,810"
Virginia,0,4622125,"4,622,125"
Washington,2324907,3575852,"3,575,852"
West Virginia,0,1365368,"1,365,368"
Wisconsin,0,3619273,"3,619,273"
Wyoming,203602,324253,"324,253"
United States,0,176629259,"176,629,259"
Alabama,0,2956385,"2,956,385"
