Year-State,Year,SateAbbreviation,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
2012-NE,2012,NE,Nebraska,0.611,0.603,0.569,804245.0,794379.0,1316915,1396507,0.047,4466,14260,1383,13407
2012-NV,2012,NV,Nevada,0.565,0.564,0.48200000000000004,1016664.0,1014918.0,1800969,2105976,0.133,12883,11321,5379,24262
2012-NH,2012,NH,New Hampshire,0.7090000000000001,0.7020000000000001,0.6779999999999999,718700.0,710972.0,1013420,1047978,0.03,2672,0,0,2672
2012-NJ,2012,NJ,New Jersey,0.622,0.615,0.532,3683638.0,3640292.0,5918182,6847503,0.121,21759,114886,14987,97636
2012-NM,2012,NM,New Mexico,0.5479999999999999,0.546,0.498,786522.0,783757.0,1436363,1573400,0.073,6553,21381,5078,22963
2012-NY,2012,NY,New York,0.535,0.531,0.461,7128852.0,7074723.0,13324107,15344671,0.125,49889,0,46222,96111
2012-NC,2012,NC,North Carolina,0.654,0.648,0.601,4542488.0,4505372.0,6947954,7496980,0.061,35567,96070,4359,90843
2012-ND,2012,ND,North Dakota,0.604,0.598,0.5870000000000001,325564.0,322627.0,539164,549955,0.017,1500,0,0,1500
2012-OH,2012,OH,Ohio,0.6509999999999999,0.645,0.627,5632423.0,5580822.0,8649495,8896930,0.022000000000000002,50313,0,0,50313
2012-OK,2012,OK,Oklahoma,0.0,0.49200000000000005,0.46299999999999997,0.0,1334872.0,2713268,2885093,0.045,25225,25506,2310,41053
2012-OR,2012,OR,Oregon,0.642,0.631,0.5870000000000001,1820507.0,1789270.0,2836101,3050747,0.066,13607,0,0,13607
2012-PA,2012,PA,Pennsylvania,0.0,0.595,0.5720000000000001,0.0,5742040.0,9651432,10037099,0.033,50054,0,0,50054
2012-RI,2012,RI,Rhode Island,0.0,0.58,0.534,0.0,446049.0,768918,834983,0.075,3249,0,0,3249
2012-SC,2012,SC,South Carolina,0.568,0.563,0.536,1981516.0,1964118.0,3486838,3662322,0.035,21895,34945,6116,46532
2012-SD,2012,SD,South Dakota,0.601,0.593,0.5760000000000001,368270.0,363815.0,613190,631472,0.019,3574,0,2761,6335
