YearState,ElectionYear,StateAbbreviation,StateName,VoterTurnout,VEPTotalBallotsCounted,VAPHighestOffice,TotalBallotsCounted,HighestOffice,VEP_VotingEligiblePopulation,VAP_VotingAgePopulation,PercentNonCitizen,Prison,Probation,Parole,TotalIneligibleFelon
1982-NV,1982,NV,Nevada,0.387,0.391,0.367,242578,240394,621060,655823,0.044,2753,4733,1065,6185
1982-NY,1982,NY,New York,0.434,0.449,0.4,5437367,5254891,12118685,13150573,0.075,27945,0,21062,49007
1982-OH,1982,OH,Ohio,0.441,0.462,0.436,3551995,3395463,7692059,7793022,0.011,17317,0,0,17317
1982-OK,1982,OK,Oklahoma,0.384,0.391,0.376,901488,883130,2302670,2346265,0.012,6500,14749,1858,15733
1982-OR,1982,OR,Oregon,0.55,0.561,0.535,1063913,1042009,1895706,1946116,0.024,3900,0,0,3900
1982-PA,1982,PA,Pennsylvania,0.421,0,0.415,0,3683985,8749931,8869173,0.012,10508,0,0,10508
1982-RI,1982,RI,Rhode Island,0.5,0.542,0.474,370928,342779,684977,723060,0.046,1037,6501,327,4615
1982-SC,1982,SC,South Carolina,0.297,0.304,0.292,688300,671625,2260577,2297223,0.007,9137,16981,3175,20803
1982-SD,1982,SD,South Dakota,0.569,0,0.566,0,278562,489474,492367,0.004,791,0,0,791
1982-TN,1982,TN,Tennessee,0.375,0,0.371,0,1259785,3357236,3393233,0.006,7869,10101,3303,16223
1982-TX,1982,TX,Texas,0.312,0,0.292,0,3191091,10228820,10910762,0.049,36149,177270,26274,151058
1982-UT,1982,UT,Utah,0.551,0.558,0.539,537207,530802,962724,984073,0.022,0,0,0,0
1982-VA,1982,VA,Virginia,0.357,0,0.347,0,1415622,3960296,4076585,0.023,10079,14813,6487,23973
1982-VT,1982,VT,Vermont,0.454,0.461,0.446,172084,169251,372982,379067,0.016,0,0,0,0
1982-WA,1982,WA,Washington,0.456,0.468,0.436,1404831,1368476,2999997,3138109,0.031,6264,60142,3047,39382
1982-WI,1982,WI,Wisconsin,0.469,0,0.461,0,1580344,3372875,3426394,0.01,4714,19603,3125,17641
1982-WV,1982,WV,West Virginia,0.404,0,0.401,0,565314,1399303,1409116,0.004,1547,2711,610,3513
1982-WY,1982,WY,Wyoming,0.49,0.5,0.483,172065,168555,344218,349060,0.009,702,1303,244,1598
1984-AK,1984,AK,Alaska,0.605,0.621,0.586,213173,207605,343030,354410,0.023,1967,2064,147,3146
1984-AL,1984,AL,Alabama,0.509,0,0.503,0,1441713,2831099,2867180,0.005,10482,16338,2194,20845
1984-AR,1984,AR,Arkansas,0.53,0,0.523,0,884406,1668136,1689480,0.005,4482,8238,3463,12064
1984-AZ,1984,AZ,Arizona,0.477,0.489,0.453,1051339,1025897,2151391,2263826,0.042,7845,16687,1660,17849
1984-CA,1984,CA,California,0.572,0.589,0.493,9796375,9505423,16618345,19270739,0.134,43197,0,30645,73842
1984-CO,1984,CO,Colorado,0.571,0.592,0.557,1343437,1295380,2267668,2325829,0.023,3231,0,1709,4940
1984-CT,1984,CT,Connecticut,0.638,0.648,0.603,1490946,1466900,2300533,2431057,0.041,5718,46681,868,29927
1984-DE,1984,DE,Delaware,0.575,0.584,0.559,258182,254572,442354,455312,0.015,2202,6373,830,6219
1984-FL,1984,FL,Florida,0.524,0,0.483,0,4180051,7976805,8656427,0.068,26914,118318,5661,91734
1984-GA,1984,GA,Georgia,0.431,0,0.419,0,1776120,4119852,4243165,0.013,15404,90057,7246,67679
1984-HI,1984,HI,Hawaii,0.484,0.503,0.447,349253,335846,694187,750909,0.073,1965,0,0,1965
1984-IA,1984,IA,Iowa,0.641,0.651,0.633,1339886,1319805,2057482,2084995,0.008,2836,11924,1662,10460
1984-ID,1984,ID,Idaho,0.62,0.637,0.608,421935,411144,662771,675772,0.017,1253,0,0,1253
1984-IL,1984,IL,Illinois,0.608,0.627,0.579,4969352,4819088,7922605,8327065,0.047,17114,0,0,17114
1984-IN,1984,IN,Indiana,0.57,0.579,0.564,2268493,2233069,3916362,3960870,0.009,9328,0,0,9328
1984-KS,1984,KS,Kansas,0.584,0,0.574,0,1021991,1751223,1779487,0.013,4244,0,0,4244
1984-KY,1984,KY,Kentucky,0.518,0,0.512,0,1369345,2643027,2672424,0.005,4820,15004,3567,15889
1984-LA,1984,LA,Louisiana,0.565,0,0.556,0,1706822,3019930,3072074,0.013,13659,0,0,13659
1984-MA,1984,MA,Massachusetts,0.599,0.607,0.57,2595054,2559453,4273437,4486676,0.048,0,0,0,0
1984-MD,1984,MD,Maryland,0.538,0.545,0.511,1695924,1675873,3113967,3278321,0.034,13124,64827,7046,52584
1984-ME,1984,ME,Maine,0.658,0,0.649,0,553144,840251,852022,0.014,0,0,0,0
1984-MI,1984,MI,Michigan,0.593,0.606,0.58,3884854,3801658,6407156,6550877,0.02,14604,0,0,14604
1984-MN,1984,MN,Minnesota,0.699,0.709,0.686,2115317,2084449,2982015,3039490,0.013,2167,31440,1418,19305
1984-MO,1984,MO,Missouri,0.587,0,0.578,0,2122783,3617948,3671506,0.008,8770,23574,4366,24923
1984-MS,1984,MS,Mississippi,0.533,0,0.527,0,941104,1766654,1787243,0.005,6115,6570,3108,12508
1984-MT,1984,MT,Montana,0.664,0.682,0.658,395006,384377,578925,584162,0.007,964,0,0,964
1984-NC,1984,NC,North Carolina,0.482,0,0.473,0,2175361,4512013,4598151,0.009,16371,52600,3892,46563
1984-ND,1984,ND,North Dakota,0.64,0.672,0.635,324179,308971,482655,486449,0.007,432,0,0,432
1984-NE,1984,NE,Nebraska,0.575,0.591,0.566,670781,652090,1135012,1152310,0.009,1665,10763,361,7408
1984-NH,1984,NH,New Hampshire,0.541,0.566,0.531,406608,388904,718967,732480,0.018,581,0,0,581
1984-NJ,1984,NJ,New Jersey,0.605,0.605,0.565,3215941,3217862,5318696,5699440,0.059,10363,44208,12206,44673
1984-NM,1984,NM,New Mexico,0.538,0.546,0.519,522328,514370,956246,990632,0.029,2129,3926,1194,5286
1984-NV,1984,NV,Nevada,0.436,0.448,0.411,294413,286667,656862,697185,0.047,3488,5226,1187,7288
