YearState,StateAbbreviation,StateName,ElectionYear,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
2010-TX,TX,Texas,2010,1,1,0,0,0,0.0697521,0.0027964,0.0021549,0.0006091,0.0833179,0.0418422,0.7475765,0.9999651,1,,0.1088155,,0.0297358,0,,,0.74959,0.3216554
2012-TX,TX,Texas,2012,1,1,0,0,0,0.0260142,0.0063533,0.005223,0.0005616,0.0634162,0.0429503,0.4736454,0.9450474,1,0.12941456,,0.06497302,,0,12.43597,,0.7708747,0.4965065
2014-TX,TX,Texas,2014,1,1,0,0,0,0.0553075,0.0045092,0.0033226,0.0011104,0.1402608,0.0825986,0.4637988,0.9749324,1,,0.0974357,,0.0286469,0,7.244992,,0.7280378,0.2834161
2016-TX,TX,Texas,2016,1,1,0,0,0,0.0542601,0.0077392,0.0063038,0.0009606,0.1022708,0.0261367,0.294544,0.9553872,1,0.1183734,,0.05324501,,1,10.97925,,0.8034688,0.5155825
2018-TX,TX,Texas,2018,1,1,1,1,0,0.0611648,0.0064964,0.004892,0.001132,0.13951,0.0718355,0.3457153,0.9751279,1,,0.0943561,,0.0269235,1,10.88633,,0.7758031,0.4634201
2008-UT,UT,Utah,2008,1,0,,,,,0.0452866,0.0071467,0.0017521,0.2500228,0.0422491,0.3119984,0.973514,1,0.14134705,,0.09332602,,0,13.73014,0.0193732,0.7581635,0.5711892
2010-UT,UT,Utah,2010,1,1,1,1,1,0.0223256,0.0298252,0.0046305,0.001742,0.307522,0.0218712,0.7217687,1,1,,0.1208855,,0.0326639,1,,,0.739888,0.3671213
2012-UT,UT,Utah,2012,1,1,1,1,1,0.0332757,0.0522787,0.0099684,0.0019559,0.225745,0.0157807,0.2831068,0.9444444,1,0.1552075,,0.10198568,,1,10.31847,0.0110285,0.7678974,0.5604429
2014-UT,UT,Utah,2014,1,1,1,1,1,,,,,,,,,1,,0.1106737,,0.0266537,1,5.049106,,0.6988709,0.3022995
2016-UT,UT,Utah,2016,1,1,1,1,1,0.0570703,0.0308281,0.0036597,0.0062823,0.2910533,0.0417854,0.4476218,0.9997488,1,0.12134106,,0.08183046,,1,8.67596,0.0076087,0.8134146,0.5668525
2018-UT,UT,Utah,2018,1,1,1,1,1,0.219197,0.0481106,0.0019122,0.0085455,,0.0130776,0.5952717,0.99897,1,,0.0744368,,0.0303814,1,7.135953,,0.7744952,0.5200223
