YearState,StateAbbreviation,StateName,ElectionYear,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
2016-ME,ME,Maine,2016,1,1,1,0,1,0.0111876,0.0002514,0,0.0031908,0.0226125,0.5,0,1,0,0.14256482,,0.00995806,,0,4.057429,0.0311288,0.8765755,0.7049893
2018-ME,ME,Maine,2018,1,1,1,,0,0.0088605,0.0004894,0,0.0032922,0.0402722,0.0297644,0.2027027,1,0,,0.1268588,,0.0096398,0,5.001592,,0.8712323,0.6020591
2008-MI,MI,Michigan,2008,1,1,,,,0.0023448,0.0007535,0.0003917,0.0016918,0.0250295,0.0905497,0.2733931,0.9634053,0,0.15839989,,0.04656121,,0,20.39494,0.0074049,0.9044471,0.6970152
2010-MI,MI,Michigan,2010,1,1,1,1,0,0.0025674,0.0002563,0.0001568,0.0016677,0.0457065,0.0885368,0.32848,1,0,,0.1182201,,0.0328043,0,,,0.8678957,0.4516394
2012-MI,MI,Michigan,2012,1,1,1,1,0,0.0027539,0.0005595,0.0003106,0.0016836,0.029106,0.0872351,0.2511595,1,1,0.16374734,,0.03245489,,0,21.92964,0.0104043,0.8952891,0.653347
2014-MI,MI,Michigan,2014,1,1,1,1,0,0.0017235,0.0003559,0.0001402,0.001604,0.0723994,0.0274646,0.2455328,1,0,,0.1241645,,0.0243783,1,2.884609,,0.8664779,0.4315599
2016-MI,MI,Michigan,2016,1,1,1,1,0,0.0007218,0.0003879,0.0003186,0.0012659,0.0612349,0.0251353,0.2177158,1,0,0.13583705,,0.03093756,,1,8.301167,0.010273,0.8890972,0.6465221
2018-MI,MI,Michigan,2018,1,1,1,1,0,0.0006761,0.0001778,0.0001262,0.0013851,0.054815,0.0158915,0.2464294,0.9999469,0,,0.1199042,,0.0236532,0,6.792833,,0.8922639,0.5777812
2008-MN,MN,Minnesota,2008,1,0,,,,0.0013859,,,0.003398,,0.063601,0.2778373,0.968371,1,0.13356462,,0.01187608,,0,8.646645,0.0033713,0.9181286,0.7810257
2010-MN,MN,Minnesota,2010,1,1,1,1,,0.0023995,,,0.0036711,0.0709079,0.0734118,0.349872,0.9750772,1,,0.1185615,,0.0143632,0,,,0.8534724,0.5586067
2012-MN,MN,Minnesota,2012,1,1,1,1,,0.0008924,,,0.0026342,0.0431996,0.0763144,0.2107462,1,1,0.16280241,,0.01234857,,0,6.224818,0.0048187,0.8768958,0.7611475
2014-MN,MN,Minnesota,2014,1,1,1,1,,0.0012605,,,0.0024042,0.1710997,0.0653824,0.3742975,1,1,,0.1072707,,0.0091464,1,2.395515,,0.8252797,0.5050809
2016-MN,MN,Minnesota,2016,1,1,1,1,,0.000659,,,0.0020449,0.0754312,0.0757648,0.2334821,1,1,0.15444912,,0.02014818,,1,6.853027,0.0077648,0.8865658,0.7424856
2018-MN,MN,Minnesota,2018,1,1,1,1,,0.0007705,0,0,0.0028565,0.1129947,0.1268927,0.2836595,1,1,,0.1076993,,0.0092386,1,3.367961,,0.8842356,0.6424988
2008-MO,MO,Missouri,2008,1,1,,,,,0.0023175,0.0017253,0.0018226,0.0426211,0.0460646,0.1912849,0.9568514,1,0.16619581,,0.09915379,,0,25.94895,,0.8546824,0.691386
2010-MO,MO,Missouri,2010,1,1,1,0,0,,0.001859,0.0010259,0.0010335,0.0367766,0.0770588,0.6100417,0.9761097,1,,0.1527473,,0.0449207,0,,,0.8176373,0.4446764
2012-MO,MO,Missouri,2012,1,1,1,0,0,0.0843807,0.0022504,0.0015879,0.0017868,0.0459155,0.0386089,0.2168997,0.9968871,1,0.16751409,,0.07580572,,0,12.70876,,0.867941,0.6251281
2014-MO,MO,Missouri,2014,1,1,1,0,0,0.0002775,0.0006368,0.0004254,0.000935,0.0638707,0.027163,0.420739,1,1,,0.1424134,,0.0325401,1,3.139476,,0.8345045,0.3178498
2016-MO,MO,Missouri,2016,1,1,1,0,0,0.0051779,0.0020061,0.0012788,0.0019668,0.047387,0.0159935,0.2617639,0.9331664,1,0.17090154,,0.05723101,,1,13.85271,,0.853853,0.6225004
2018-MO,MO,Missouri,2018,1,1,1,0,0,,0.0017601,0.0011605,0.0018408,0.052859,0.0635151,0.3467222,0.882166,1,,0.1351317,,0.0339938,1,7.875763,,0.8674462,0.5343425
2008-MS,MS,Mississippi,2008,0,0,,,,,,,,,,,0.7352235,0,0.18534994,,0.08251782,,0,11.00348,,0.8682269,0.610338
2010-MS,MS,Mississippi,2010,1,0,0,0,0,,,,,,,0.1980306,0.784887,0,,0.1851464,,0.0283628,0,,,0.8220344,0.3697695
2012-MS,MS,Mississippi,2012,1,0,0,0,0,,,,,,,,0.7214549,0,0.20690326,,0.06482957,,0,7.692284,,0.9019811,0.5971594
2014-MS,MS,Mississippi,2014,1,0,1,0,0,,0.006813,0.001453,0.0009071,0.0919576,0.0163934,0.4518349,0.9352053,0,,0.1854997,,0.019775,0,2.43111,,0.852437,0.2888636
2016-MS,MS,Mississippi,2016,1,1,1,0,0,0.0021845,0.0177723,0.0044271,0.0013073,0.0601137,0.0089538,0.2659979,0.9444444,0,0.1873583,,0.07497387,,0,8.041148,,0.8704088,0.5556911
2018-MS,MS,Mississippi,2018,1,1,1,0,0,0.0069734,0.0130457,0.0033496,0.0004764,0.0836004,,,0.9410489,0,,0.1537801,,0.0160792,0,6.65768,,0.842239,0.4365763
2008-MT,MT,Montana,2008,0,0,,,,0.0098772,0.0075603,0.000201,0.0039429,0.040865,0.0671113,0.3245223,0.9959454,0,0.13680297,,0.03711556,,0,6.151454,0.0116828,0.8020693,0.6707515
2010-MT,MT,Montana,2010,1,1,0,1,0,0.0165496,0.0074585,0.0003432,0.0021874,0.092261,0.037785,0.6082828,0.9995347,1,,0.1188301,,0.0328833,0,,,0.7767602,0.4841097
2012-MT,MT,Montana,2012,1,1,1,1,0,0.0110177,0.0113057,0.0005448,0.0017339,0.0926698,0.0099294,0.3299346,1,1,0.13012452,,0.05535465,,0,16.50092,0.0163304,0.8272051,0.6363162
2014-MT,MT,Montana,2014,1,1,1,1,0,0.033068,0.0122061,0.00042,0.0025011,0.1113598,0.0126263,0.3415179,1,1,,0.1006493,,0.0333738,0,2.102134,,0.741809,0.4726295
2016-MT,MT,Montana,2016,1,1,1,1,0,0.006037,0.014732,0.0006075,0.0021764,0.0509393,0.0077465,0.150231,0.9444444,1,0.08457123,,0.04844387,,0,3.284164,0.0292527,0.8223944,0.6180488
2018-MT,MT,Montana,2018,1,1,1,1,0,0.0079363,0.0200333,0.0007431,0.0026993,0.1692129,0.0034317,0.1844388,0.9998876,1,,0.082339,,0.0316327,0,3.773566,,0.8218935,0.6196992
2008-NC,NC,North Carolina,2008,1,1,,,,0.0325179,0.012442,0.0063319,0.0061039,0.1448793,0.0793941,0.3295829,1,1,0.16834645,,0.07527958,,0,21.04392,0.0100543,0.8450992,0.6613565
2010-NC,NC,North Carolina,2010,1,1,1,1,1,0.0908122,0.0097223,0.0039112,0.0002759,0.1178384,0.0837624,0.7818627,1,1,,0.1424918,,0.0315861,0,,,0.7933555,0.3979382
2012-NC,NC,North Carolina,2012,1,1,1,1,1,0.042992,0.0112764,0.0061303,0.0004928,0.1070831,0.0089706,0.2089184,1,1,0.17357709,,0.07726049,,0,13.54665,0.0081709,0.8882124,0.6516388
2014-NC,NC,North Carolina,2014,1,1,1,1,1,0.0611137,0.0064252,0.0033574,0.0013204,0.1906282,0.0084998,0.281746,1,1,,0.1298475,,0.0230063,0,8.753906,,0.8304456,0.412183
2016-NC,NC,North Carolina,2016,1,1,0,1,1,0.1058033,0.0129297,0.0071971,0.0010364,0.1563657,0.0131949,0.1876719,1,1,0.16480404,,0.07247513,,0,14.30434,0.0058864,0.8798371,0.6478925
2018-NC,NC,North Carolina,2018,1,1,1,1,1,0.186792,0.0096596,0.0047441,0.0015748,0.242552,0.0044485,0.1790548,0.9999147,1,,0.1308446,,0.0196207,0,9.514041,,0.856142,0.4956807
2008-ND,ND,North Dakota,2008,1,,,,,,,,0.0012028,0.0635516,0.0225933,0.2337565,1,1,0.10326316,,0.02251222,,,5.319697,0.0161802,,0.6362067
2010-ND,ND,North Dakota,2010,1,,1,1,,,,,0.0007551,0.0611391,0.0054645,0.3383459,1,1,,0.075033,,0.014875,,,,,0.4666774
2012-ND,ND,North Dakota,2012,1,,1,1,,,,,0.0011004,0.0546361,0.0135849,0.1830635,1,1,0.10116036,,0.02324787,,,7.457581,0.0089915,,0.610757
2014-ND,ND,North Dakota,2014,1,,1,1,,,,,0.0023522,0.0614769,0.0136054,0.2017291,1,1,,0.0764923,,0.0181942,,3.793256,,,0.4498319
2016-ND,ND,North Dakota,2016,1,,1,1,,,,,0.001746,0.0496749,0.0326667,0.1349481,1,1,0.1006645,,0.02373986,,,6.714323,0.0159597,,0.6094538
2018-ND,ND,North Dakota,2018,1,,1,1,,,0,0,0.001679,0.0535897,0.0307882,,0.9166667,1,,0.0683013,,0.0256528,,3.305078,,,0.5860482
2008-NE,NE,Nebraska,2008,1,1,,,,0.0046349,0.0190667,0.0041994,0.0022987,0.0401351,0.0785109,0.1882458,1,0,0.08956382,,0.07084619,,0,9.290749,0.0131072,0.8273379,0.6369427
2010-NE,NE,Nebraska,2010,1,1,0,0,1,,0.011102,0.0020039,0.0021191,0.081558,0.1160991,0.6389044,0.9742549,0,,0.0865468,,0.029165,0,,,0.7737828,0.3797175
2012-NE,NE,Nebraska,2012,1,1,0,1,1,0.0034177,0.0185515,0.0039948,0.0048334,0.1055464,0.0459311,0.1462063,0.9822419,1,0.09139717,,0.07870281,,0,5.841214,0.0122674,0.814917,0.6083787
2014-NE,NE,Nebraska,2014,1,1,0,1,1,0.0019134,0.011359,0.0021218,0.0033738,0.0792163,0.0565217,0.3072289,1,1,,0.0842369,,0.0271517,0,3.010189,,0.7757987,0.4149522
2016-NE,NE,Nebraska,2016,1,1,1,1,1,0.0017888,0.0186384,0.0044377,0.0030984,0.0393038,0.0468904,0.1850362,1,1,0.10420382,,0.06693326,,1,5.621894,0.0189943,0.8556443,0.6253982
2018-NE,NE,Nebraska,2018,1,1,1,1,1,0.00271,0.0151991,0.0032895,0.0021328,0.0932311,0.0465718,0.1714898,0.9963686,1,,0.094191,,0.0210425,1,3.748601,,0.8008748,0.5179651
2008-NH,NH,New Hampshire,2008,0,0,,,,,,,0.001764,0.0474093,0.0436164,0.1798152,0.6875,0,0.1706019,,0.02197219,,0,7.460956,0.0119488,0.8431196,0.7252814
2010-NH,NH,New Hampshire,2010,1,1,0,1,,,,,0.0014564,0.0530247,0.0428456,0.4724947,0.8125,0,,0.1123418,,0.0149181,0,,,0.7756665,0.4619778
2012-NH,NH,New Hampshire,2012,1,1,0,1,,0.0000173,,,0.0024141,0.0472792,0.0733716,0.1266404,1,0,0.15795779,,0.02003147,,0,10.68225,0.0109887,0.8415838,0.7089582
2014-NH,NH,New Hampshire,2014,1,1,0,1,,0,,,0.0015757,0.048777,0.077574,0.2033708,1,0,,0.1003753,,0.0167323,0,5.17061,,0.7832226,0.48363
2016-NH,NH,New Hampshire,2016,1,1,1,1,,0,,,0.0020629,0.0349846,0.0493827,0.1219512,1,0,0.15510112,,0.01556213,,0,5.181927,0.0152861,0.8683236,0.7142257
2018-NH,NH,New Hampshire,2018,1,1,1,1,,0,0,0,0.0020617,0.0473191,0.0647583,0.1649687,1,0,,0.1046127,,0.0135349,0,4.280653,,0.8468997,0.546473
2008-NJ,NJ,New Jersey,2008,1,1,,,,0.0453738,0.0182946,0.0046115,0.0016587,0.4337221,0.0294278,0.3158344,0.8954756,,0.19134796,,0.06595119,,0,7.351229,0.0183422,0.8546985,0.6769154
2010-NJ,NJ,New Jersey,2010,1,1,0,0,0,0.0836036,0.0080461,0.0015351,0.0015383,0.2192469,0.0453461,0.749744,1,0,,0.1155499,,0.0285609,0,,,0.8194681,0.3778218
