yearstate,electionyear,stateabbriviation,statename,percentcitizenwhite,percentcitizenblack,percentcitizenasian,percentcitizenhispanic,totalvotingagepopulation,totalvotingagecitizen,totalpercentcitizen,totalregisteredvoters,totalpercentregisteredcitizens,totaltotalvotes,totalpercentvotedcitizen,malevotingagepopulation,malevotingagecitizen,malepercentcitizen,maleregisteredvoters,malepercentregisteredcitizens,maletotalvotes,malepercentvotedcitizen,femalevotingagepopulation,femalevotingagecitizen,femalepercentcitizen,femaleregisteredvoters,femalepercentregisteredcitizens,femaletotalvotes,femalepercentvotedcitizen,whitenonhispanicvotingagepopulation,whitenonhispanicvotingagecitizen,whitenonhispanicpercentcitizen,whitenonhispanicregisteredvoters,whitenonhispanicpercentregisteredcitizens,whitenonhispanictotalvotes,whitenonhispanicpercentvotedcitizen,blackvotingagepopulation,blackvotingagecitizen,blackpercentcitizen,blackregisteredvoters,blackpercentregisteredcitizens,blacktotalvotes,blackpercentvotedcitizen,asianpacificislandervotingagepopulation,asianpacificislandervotingagecitizen,asianpacificislanderpercentcitizen,asianpacificislanderregisteredvoters,asianpacificislanderpercentregisteredcitizens,asianpacificislandertotalvotes,asianpacificislanderpercentvotedcitizen,hispanicvotingagepopulation,hispanicvotingagecitizen,hispanicpercentcitizen,hispanicregisteredvoters,hispanicpercentregisteredcitizens,hispanictotalvotes,hispanicpercentvotedcitizen
2000-MO,2000,MO,MISSOURI,0.869576122,0.10860296,0.013794833,0.006772009,4066,3987,0.980570585,3023,0.758214196,2659,0.666917482,1902,1872,0.984227129,1386,0.740384615,1217,0.650106838,2165,2115,0.976905312,1637,0.773995272,1442,0.68179669,3494,3467,0.992272467,2639,0.76117681,2314,0.667435823,442,433,0.979638009,337,0.778290993,302,0.697459584,88,55,0.625,34,0.618181818,30,0.545454545,38,27,0.710526316,13,0.481481481,13,0.481481481
2000-MT,2000,MT,MONTANA,0.927692308,0,0.001538462,0.018461538,658,650,0.987841945,461,0.709230769,409,0.629230769,329,327,0.993920973,224,0.685015291,198,0.605504587,329,323,0.981762918,237,0.73374613,212,0.656346749,608,603,0.991776316,430,0.713101161,385,0.638474295,0,0,0,0,0,0,0,3,1,0.333333333,1,1,1,1,13,12,0.923076923,9,0.75,8,0.666666667
2000-NE,2000,NE,NEBRASKA,0.914115646,0.039115646,0.011054422,0.027210884,1205,1176,0.97593361,865,0.735544218,710,0.603741497,579,567,0.979274611,394,0.694885362,331,0.58377425,626,609,0.97284345,471,0.773399015,379,0.622331691,1078,1075,0.997217069,800,0.744186047,661,0.614883721,46,46,1,30,0.652173913,23,0.5,14,13,0.928571429,8,0.615384615,7,0.538461538,56,32,0.571428571,20,0.625,15,0.46875
2000-NV,2000,NV,NEVADA,0.758340114,0.082180635,0.053702197,0.09194467,1377,1229,0.892519971,720,0.585842148,641,0.521562246,693,623,0.898989899,349,0.560192616,310,0.497592295,683,606,0.887262079,371,0.612211221,331,0.54620462,945,932,0.986243386,578,0.620171674,525,0.563304721,105,101,0.961904762,51,0.504950495,41,0.405940594,92,66,0.717391304,25,0.378787879,18,0.272727273,220,113,0.513636364,53,0.469026549,45,0.398230088
2000-NH,2000,NH,NEW HAMPSHIRE,0.961493582,0.015169195,0.011668611,0.007001167,902,857,0.950110865,628,0.732788798,571,0.666277713,442,421,0.952488688,301,0.714964371,271,0.643705463,461,437,0.947939262,327,0.748283753,300,0.686498856,848,824,0.971698113,607,0.736650485,551,0.66868932,13,13,1,10,0.769230769,9,0.692307692,23,10,0.434782609,4,0.4,4,0.4,14,6,0.428571429,4,0.666666667,4,0.666666667
2000-NJ,2000,NJ,NEW JERSEY,0.788200806,0.124587761,0.023085379,0.063393184,6109,5458,0.893435914,3859,0.707035544,3374,0.618175156,2919,2598,0.890030832,1820,0.700538876,1602,0.616628176,3190,2860,0.896551724,2039,0.712937063,1772,0.61958042,4492,4302,0.957702582,3151,0.732450023,2760,0.641562064,753,680,0.903054449,405,0.595588235,356,0.523529412,278,126,0.45323741,87,0.69047619,77,0.611111111,583,346,0.59348199,212,0.612716763,179,0.51734104
2000-NM,2000,NM,NEW MEXICO,0.488215488,0.024410774,0.004208754,0.358585859,1261,1188,0.942109437,750,0.631313131,647,0.544612795,591,559,0.945854484,332,0.59391771,286,0.511627907,670,629,0.93880597,419,0.666136725,361,0.573926868,592,580,0.97972973,435,0.75,392,0.675862069,29,29,1,15,0.517241379,9,0.310344828,7,5,0.714285714,2,0.4,2,0.4,484,426,0.880165289,239,0.561032864,191,0.448356808
2000-NY,2000,NY,NEW YORK,0.73132946,0.14170245,0.035699251,0.090679465,13725,11877,0.865355191,8047,0.677527995,7004,0.589711207,6613,5689,0.860275215,3710,0.6521357,3251,0.571453683,7112,6189,0.870219348,4337,0.700759412,3753,0.606398449,9115,8686,0.952934723,6155,0.708611559,5393,0.620884181,1989,1683,0.846153846,1078,0.640522876,950,0.564468212,908,424,0.466960352,209,0.492924528,157,0.370283019,1706,1077,0.63130129,603,0.559888579,502,0.466109564
2000-NC,2000,NC,NORTH CAROLINA,0.718088097,0.245173383,0.004311153,0.01574508,5629,5335,0.947770474,3720,0.697282099,2995,0.561387067,2626,2442,0.929931455,1693,0.693284193,1361,0.557330057,3003,2893,0.963369963,2026,0.700311096,1633,0.564465952,3895,3831,0.983568678,2784,0.726703211,2296,0.599321326,1310,1308,0.998473282,827,0.632262997,626,0.478593272,77,23,0.298701299,8,0.347826087,2,0.086956522,255,84,0.329411765,31,0.369047619,22,0.261904762
2000-ND,2000,ND,NORTH DAKOTA,0.941573034,0.004494382,0.004494382,0.006741573,449,445,0.991091314,409,0.919101124,313,0.703370787,222,219,0.986486486,202,0.922374429,155,0.707762557,228,226,0.99122807,208,0.920353982,159,0.703539823,422,419,0.992890995,388,0.92601432,302,0.720763723,2,2,1,2,1,1,0.5,2,2,1,1,0.5,0,0,3,3,1,2,0.666666667,0,0
